Protein,mf-go
A0FGR8,GO:0005488
A0FGR8,GO:0043167
A0FGR8,GO:0045296
A0FGR8,GO:0043168
A0FGR8,GO:0050839
A0FGR8,GO:0005543
A0FGR8,GO:0035091
A0FGR8,GO:0008289
A0FGR8,GO:0003674
A0FGR8,GO:0043169
A0FGR8,GO:0036094
A0FGR8,GO:0005515
A0FGR8,GO:0005509
A0FGR8,GO:0042802
A0FGR8,GO:0046872
A0FGR9,GO:0005488
A0FGR9,GO:0043167
A0FGR9,GO:0043168
A0FGR9,GO:0005543
A0FGR9,GO:0035091
A0FGR9,GO:0008289
A0FGR9,GO:0003674
A0FGR9,GO:0043169
A0FGR9,GO:0036094
A0FGR9,GO:0005515
A0FGR9,GO:0005509
A0FGR9,GO:0046872
A0JLT2,GO:0140110
A0JLT2,GO:0005515
A0JLT2,GO:0005488
A0JLT2,GO:0003712
A0JLT2,GO:0003674
A0JNW5,GO:0005488
A0JNW5,GO:0005215
A0JNW5,GO:0044877
A0JNW5,GO:0005319
A0JNW5,GO:0003674
A0JNW5,GO:0140104
A0JNW5,GO:0005515
A0JNW5,GO:0046983
A0JNW5,GO:0042803
A0JNW5,GO:0042802
A0JP26,GO:0003674
A0JP26,GO:0005488
A0JP26,GO:0005515
A0M8Q6,GO:0005488
A0M8Q6,GO:0003823
A0M8Q6,GO:0003674
A0MZ66,GO:0050839
A0MZ66,GO:0044877
A0MZ66,GO:0005515
A0MZ66,GO:0003779
A0MZ66,GO:0005488
A0MZ66,GO:0008092
A0MZ66,GO:0045296
A0MZ66,GO:0003674
A0MZ66,GO:0051015
A0PG75,GO:0005488
A0PG75,GO:0005215
A0PG75,GO:0005319
A0PG75,GO:0003674
A0PG75,GO:0140104
A0PJK1,GO:0015075
A0PJK1,GO:0015293
A0PJK1,GO:0015291
A0PJK1,GO:0005215
A0PJK1,GO:0008324
A0PJK1,GO:0022804
A0PJK1,GO:0015081
A0PJK1,GO:0015294
A0PJK1,GO:0003674
A0PJK1,GO:0022857
A0PJK1,GO:0046873
A0PJW6,GO:0005488
A0PJW6,GO:0044877
A0PJW6,GO:0003674
A0PJW6,GO:0043021
A0PJW6,GO:0043022
A0PJW8,GO:0044877
A0PJW8,GO:0005515
A0PJW8,GO:0005488
A0PJW8,GO:0003674
A0PJW8,GO:0043021
A0PJW8,GO:0043022
A0PJX0,GO:0005488
A0PJX0,GO:0000287
A0PJX0,GO:0003674
A0PJX0,GO:0005509
A0PJX0,GO:0043169
A0PJX0,GO:0043167
A0PJX0,GO:0036094
A0PJX0,GO:0046872
A0PJX0,GO:0005515
A0PJX4,GO:0005488
A0PJX4,GO:0003674
A0PJX4,GO:0005515
A0PJY2,GO:0000977
A0PJY2,GO:0000981
A0PJY2,GO:0000987
A0PJY2,GO:0001227
A0PJY2,GO:0003690
A0PJY2,GO:1990837
A0PJY2,GO:0003700
A0PJY2,GO:0140110
A0PJY2,GO:0005515
A0PJY2,GO:0001217
A0PJY2,GO:0005488
A0PJY2,GO:0000976
A0PJY2,GO:0043565
A0PJY2,GO:0001067
A0PJY2,GO:0003674
A0PJY2,GO:0003676
A0PJY2,GO:0000978
A0PJY2,GO:0003677
A0PJZ3,GO:0016740
A0PJZ3,GO:0008194
A0PJZ3,GO:0003824
A0PJZ3,GO:0003674
A0PJZ3,GO:0016757
A0PK00,GO:0005488
A0PK00,GO:0015075
A0PK00,GO:0005215
A0PK00,GO:0022803
A0PK00,GO:0015267
A0PK00,GO:0003674
A0PK00,GO:0022857
A0PK00,GO:0005515
A0PK00,GO:0005216
A0PK05,GO:0005488
A0PK05,GO:0003674
A0PK05,GO:0005515
A0PK11,GO:0005515
A0PK11,GO:0005488
A0PK11,GO:0003674
A1A4F0,GO:0005215
A1A4F0,GO:0003674
A1A4F0,GO:0022857
A1A4F0,GO:0046943
A1A4F0,GO:0015171
A1A4S6,GO:0005488
A1A4S6,GO:0140677
A1A4S6,GO:0030695
A1A4S6,GO:0008047
A1A4S6,GO:0060589
A1A4S6,GO:0003674
A1A4S6,GO:0098772
A1A4S6,GO:0005096
A1A4S6,GO:0005515
A1A4S6,GO:0030234
A1A4Y4,GO:0030674
A1A4Y4,GO:0043168
A1A4Y4,GO:0032559
A1A4Y4,GO:0032555
A1A4Y4,GO:0061660
A1A4Y4,GO:0043167
A1A4Y4,GO:0032553
A1A4Y4,GO:0005509
A1A4Y4,GO:0019899
A1A4Y4,GO:0016772
A1A4Y4,GO:1901363
A1A4Y4,GO:0061650
A1A4Y4,GO:0061659
A1A4Y4,GO:0030554
A1A4Y4,GO:0016773
A1A4Y4,GO:0019209
A1A4Y4,GO:0003674
A1A4Y4,GO:0098772
A1A4Y4,GO:0061651
A1A4Y4,GO:0032561
A1A4Y4,GO:0003924
A1A4Y4,GO:0016740
A1A4Y4,GO:0016817
A1A4Y4,GO:0017076
A1A4Y4,GO:0060090
